headword,ipa,cefr,pos,source,pattern,group,gloss_en,gloss_ja,gloss_zh,gloss_ko
hair,/hɛr/,A1,名詞,both,air → /ɛr/,r,,,,
haircut,/ˈhɛrˌkʌt/,A1,名詞,cefr,,,,,,
half,/hæf/,A1,限定詞 / 名詞 / 代名詞,cefr,,,,,,
hall,/hɔl/,A1,名詞,both,a → /ɔ/,long,,,,
hamburger,/ˈhæmbɚɡɚ/,A1,名詞,cefr,,,,,,
hand,/hænd/,A1,名詞 / 動詞,both,a → /æ/,short,,,,
handsome,/ˈhænsəm/,A1,形容詞,cefr,,,,,,
happen,/ˈhæpən/,A1,動詞,cefr,,,,,,
happy,/ˈhæpi/,A1,形容詞,cefr,,,,,,
hard,/hɑrd/,A1,形容詞 / 副詞,both,ar → /ɑr/,r,,,,
has,/hæz/,A1,have-verb,cefr,,,,,,
hat,/hæt/,A1,名詞,both,a → /æ/,short,,,,
have,/hæv/,A1,have-verb,cefr,,,,,,
he,/hi/,A1,代名詞,both,e → /i/,long,,,,
head,/hɛd/,A1,名詞 / 動詞,both,ea → /ɛ/,team,,,,
headache,/ˈhɛˌdeɪk/,A1,名詞,cefr,,,,,,
health,/hɛlθ/,A1,名詞,both,ea → /ɛ/,team,,,,
healthy,/ˈhɛlθi/,A1,形容詞,cefr,,,,,,
hear,/hir/,A1,動詞,both,ea → /i/,team,,,,
heart,/hɑrt/,A1,名詞,both,ar → /ɑr/,r,,,,
heavy,/ˈhɛvi/,A1,形容詞,cefr,,,,,,
hello,/həˈloʊ/,A1,名詞,cefr,,,,,,
help,/hɛlp/,A1,名詞 / 動詞,both,e → /ɛ/,short,,,,
her,/hɝ/,A1,限定詞 / 代名詞,both,er → /ɝ/,r,,,,
here,/hir/,A1,副詞,both,e_e → /i/ (マジックe),long,,,,
hers,/hɚz/,A1,代名詞,cefr,,,,,,
hi,/haɪ/,A1,間投詞,both,i → /aɪ/,long,,,,
hide,/haɪd/,A1,動詞,both,i_e → /aɪ/ (マジックe),long,,,,
high,/haɪ/,A1,形容詞 / 副詞,both,igh → /aɪ/,team,,,,
hill,/hɪl/,A1,名詞,both,i → /ɪ/,short,,,,
him,/hɪm/,A1,代名詞,both,i → /ɪ/,short,,,,
his,/hɪz/,A1,限定詞 / 代名詞,both,i → /ɪ/,short,,,,
history,/ˈhɪstɚi/,A1,名詞,cefr,,,,,,
hobby,/ˈhɑbi/,A1,名詞,cefr,,,,,,
hold,/hoʊld/,A1,名詞 / 動詞,both,o → /oʊ/,long,,,,
hole,/hoʊl/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
holiday,/ˈhɑləˌdeɪ/,A1,名詞,cefr,,,,,,
home,/hoʊm/,A1,副詞 / 名詞,both,o_e → /oʊ/ (マジックe),long,,,,
hometown,/ˈhoʊmˌtaʊn/,A1,名詞,cefr,,,,,,
homework,/ˈhoʊmˌwɝk/,A1,名詞,cefr,,,,,,
hope,/hoʊp/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
horse,/hɔrs/,A1,名詞,both,or → /ɔr/,r,,,,
hospital,/ˈhɑˌspɪtəl/,A1,名詞,cefr,,,,,,
hot,/hɑt/,A1,形容詞,both,o → /ɑ/,short,,,,
hotel,/hoʊˈtɛl/,A1,名詞,cefr,,,,,,
hour,/ˈaʊɚ/,A1,名詞,cefr,,,,,,
house,/haʊs/,A1,名詞,both,ou → /aʊ/,team,,,,
how,/haʊ/,A1,副詞,both,ow → /aʊ/,team,,,,
hungry,/ˈhʌŋɡri/,A1,形容詞,cefr,,,,,,
hurry,/ˈhɝi/,A1,名詞 / 動詞,cefr,,,,,,
hurt,/hɝt/,A1,動詞,both,ur → /ɝ/,r,,,,
husband,/ˈhʌzbənd/,A1,名詞,cefr,,,,,,
i,/aɪ/,A1,代名詞,cefr,,,,,,
ice,/aɪs/,A1,名詞,both,i → /aɪ/,long,,,,
idea,/aɪˈdiə/,A1,名詞,cefr,,,,,,
ideal,/aɪˈdil/,A1,形容詞,cefr,,,,,,
if,/ɪf/,A1,接続詞,both,i → /ɪ/,short,,,,
imagine,/ˌɪˈmædʒən/,A1,動詞,cefr,,,,,,
important,/ˌɪmˈpɔrtənt/,A1,形容詞,cefr,,,,,,
in,/ɪn/,A1,副詞 / 前置詞,both,i → /ɪ/,short,,,,
information,/ˌɪnfɚˈmeɪʃən/,A1,名詞,cefr,,,,,,
inside,/ˌɪnˈsaɪd/,A1,副詞 / 前置詞,cefr,,,,,,
interested,/ˈɪntrəstɪd/,A1,形容詞,cefr,,,,,,
interesting,/ˈɪntrəstɪŋ/,A1,形容詞,cefr,,,,,,
interview,/ˈɪntɚˌvju/,A1,名詞,cefr,,,,,,
interviewer,/ˈɪntɚˌvjuɚ/,A1,名詞,cefr,,,,,,
into,/ˈɪntu/,A1,前置詞,cefr,,,,,,
introduce,/ˌɪntrəˈdus/,A1,動詞,cefr,,,,,,
is,/ɪz/,A1,be動詞,both,i → /ɪ/,short,,,,
island,/ˈaɪlənd/,A1,名詞,cefr,,,,,,
it,/ɪt/,A1,名詞 / 代名詞,both,i → /ɪ/,short,,,,
item,/ˈaɪtəm/,A1,名詞,cefr,,,,,,
its,/ɪts/,A1,限定詞 / 代名詞,cefr,,,,,,
jacket,/ˈdʒækət/,A1,名詞,cefr,,,,,,
january,/ˈdʒænjuˌɛri/,A1,名詞,cefr,,,,,,
jeans,/dʒinz/,A1,名詞,cefr,,,,,,
jet,/dʒɛt/,A1,名詞,both,e → /ɛ/,short,,,,
job,/dʒɑb/,A1,名詞,both,o → /ɑ/,short,,,,
join,/dʒɔɪn/,A1,動詞,both,oi → /ɔɪ/,team,,,,
judge,/dʒʌdʒ/,A1,動詞,both,u → /ʌ/,short,,,,
juice,/dʒus/,A1,名詞,both,ui → /u/,team,,,,
july,/ˌdʒuˈlaɪ/,A1,名詞,cefr,,,,,,
jump,/dʒʌmp/,A1,動詞,both,u → /ʌ/,short,,,,
june,/dʒun/,A1,名詞,both,u_e → /u/ (マジックe),long,,,,
just,/dʒʌst/,A1,副詞,both,u → /ʌ/,short,,,,
keep,/kip/,A1,動詞,both,ee → /i/,team,,,,
key,/ki/,A1,形容詞 / 名詞,both,ey → /i/,team,,,,
kick,/kɪk/,A1,名詞 / 動詞,both,i → /ɪ/,short,,,,
kid,/kɪd/,A1,名詞,both,i → /ɪ/,short,,,,
kill,/kɪl/,A1,動詞,both,i → /ɪ/,short,,,,
kind,/kaɪnd/,A1,形容詞 / 名詞,both,i → /aɪ/,long,,,,
king,/kɪŋ/,A1,名詞,both,i → /ɪ/,short,,,,
kiss,/kɪs/,A1,名詞,both,i → /ɪ/,short,,,,
kitchen,/ˈkɪtʃən/,A1,名詞,cefr,,,,,,
kite,/kaɪt/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
knee,/ni/,A1,名詞,both,ee → /i/,team,,,,
knife,/naɪf/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
know,/noʊ/,A1,動詞,both,ow → /oʊ/,team,,,,
lady,/ˈleɪdi/,A1,名詞,cefr,,,,,,
language,/ˈlæŋɡwədʒ/,A1,名詞,cefr,,,,,,
large,/lɑrdʒ/,A1,形容詞,both,ar → /ɑr/,r,,,,
late,/leɪt/,A1,形容詞 / 副詞,both,a_e → /eɪ/ (マジックe),long,,,,
later,/ˈleɪtɚ/,A1,副詞,cefr,,,,,,
laugh,/læf/,A1,動詞,cefr,,,,,,
lazy,/ˈleɪzi/,A1,形容詞,cefr,,,,,,
leader,/ˈlidɚ/,A1,名詞,cefr,,,,,,
leaf,/lif/,A1,名詞,both,ea → /i/,team,,,,
learn,/lɝn/,A1,動詞,both,ear → /ɝ/,r,,,,
leave,/liv/,A1,動詞,both,ea → /i/,long,,,,
left,/lɛft/,A1,形容詞 / 副詞 / 名詞,both,e → /ɛ/,short,,,,
leg,/lɛɡ/,A1,名詞,both,e → /ɛ/,short,,,,
lesson,/ˈlɛsən/,A1,名詞,cefr,,,,,,
let,/lɛt/,A1,動詞,both,e → /ɛ/,short,,,,
letter,/ˈlɛtɚ/,A1,名詞,cefr,,,,,,
library,/ˈlaɪbrɛˌri/,A1,名詞,cefr,,,,,,
life,/laɪf/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
light,/laɪt/,A1,形容詞 / 名詞,both,igh → /aɪ/,team,,,,
like,/laɪk/,A1,前置詞 / 動詞,both,i_e → /aɪ/ (マジックe),long,,,,
lily,/ˈlɪli/,A1,名詞,cefr,,,,,,
line,/laɪn/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
lion,/ˈlaɪən/,A1,名詞,cefr,,,,,,
list,/lɪst/,A1,名詞,both,i → /ɪ/,short,,,,
listen,/ˈlɪsən/,A1,動詞,cefr,,,,,,
little,/ˈlɪtəl/,A1,形容詞 / 副詞,cefr,,,,,,
live,/laɪv/,A1,動詞,both,i_e → /aɪ/ (マジックe),long,,,,
living,/ˈlɪvɪŋ/,A1,形容詞,cefr,,,,,,
lonely,/ˈloʊnli/,A1,形容詞,cefr,,,,,,
long,/lɔŋ/,A1,形容詞 / 副詞,both,o → /ɔ/,short,,,,
look,/lʊk/,A1,名詞 / 動詞,both,oo → /ʊ/,team,,,,
lot,/lɑt/,A1,副詞 / 名詞 / 代名詞,both,o → /ɑ/,short,,,,
love,/lʌv/,A1,名詞 / 動詞,cefr,,,,,,
lovely,/ˈlʌvli/,A1,形容詞,cefr,,,,,,
luck,/lʌk/,A1,名詞,both,u → /ʌ/,short,,,,
lucky,/ˈlʌki/,A1,形容詞,cefr,,,,,,
lunch,/lʌntʃ/,A1,名詞,both,u → /ʌ/,short,,,,
machine,/məˈʃin/,A1,名詞,cefr,,,,,,
magazine,/ˈmæɡəˌzin/,A1,名詞,cefr,,,,,,
mail,/meɪl/,A1,名詞,both,ai → /eɪ/,team,,,,
make,/meɪk/,A1,動詞,both,a_e → /eɪ/ (マジックe),long,,,,
man,/mæn/,A1,名詞,both,a → /æ/,short,,,,
many,/ˈmɛni/,A1,限定詞 / 代名詞,cefr,,,,,,
map,/mæp/,A1,名詞,both,a → /æ/,short,,,,
march,/mɑrtʃ/,A1,名詞,both,ar → /ɑr/,r,,,,
match,/mætʃ/,A1,名詞,both,a → /æ/,short,,,,
matter,/ˈmætɚ/,A1,名詞 / 動詞,cefr,,,,,,
may,/meɪ/,A1,助動詞 / 名詞,both,ay → /eɪ/,team,,,,
maybe,/ˈmeɪbi/,A1,副詞,cefr,,,,,,
me,/mi/,A1,代名詞,both,e → /i/,long,,,,
meal,/mil/,A1,名詞,both,ea → /i/,team,,,,
mean,/min/,A1,形容詞 / 動詞,both,ea → /i/,team,,,,
meat,/mit/,A1,名詞,both,ea → /i/,team,,,,
medicine,/ˈmɛdəsən/,A1,名詞,cefr,,,,,,
meet,/mit/,A1,動詞,both,ee → /i/,team,,,,
meeting,/ˈmitɪŋ/,A1,名詞,cefr,,,,,,
memory,/ˈmɛmɚi/,A1,名詞,cefr,,,,,,
merry,/ˈmɛri/,A1,形容詞,cefr,,,,,,
message,/ˈmɛsədʒ/,A1,名詞,cefr,,,,,,
middle,/ˈmɪdəl/,A1,形容詞 / 名詞,cefr,,,,,,
milk,/mɪlk/,A1,名詞,both,i → /ɪ/,short,,,,
mind,/maɪnd/,A1,名詞 / 動詞,both,i → /aɪ/,long,,,,
mine,/maɪn/,A1,代名詞,both,i_e → /aɪ/ (マジックe),long,,,,
minute,/ˈmɪnət/,A1,名詞,cefr,,,,,,
miss,/mɪs/,A1,名詞 / 動詞,both,i → /ɪ/,short,,,,
mobile,/ˈmoʊbəl/,A1,形容詞 / 名詞,cefr,,,,,,
mom,/mɑm/,A1,名詞,both,o → /ɑ/,short,,,,
moment,/ˈmoʊmənt/,A1,名詞,cefr,,,,,,
monday,/ˈmʌndi/,A1,名詞,cefr,,,,,,
money,/ˈmʌni/,A1,名詞,cefr,,,,,,
monkey,/ˈmʌŋki/,A1,名詞,cefr,,,,,,
month,/mʌnθ/,A1,名詞,both,o → /ʌ/,long,,,,
moon,/mun/,A1,名詞,both,oo → /u/,team,,,,
more,/mɔr/,A1,限定詞 / 代名詞,both,ore → /ɔr/,r,,,,
morning,/ˈmɔrnɪŋ/,A1,名詞,cefr,,,,,,
most,/moʊst/,A1,副詞 / 限定詞 / 代名詞,both,o → /oʊ/,long,,,,
mother,/ˈmʌðɚ/,A1,名詞,cefr,,,,,,
mountain,/ˈmaʊntən/,A1,名詞,cefr,,,,,,
mouse,/maʊs/,A1,名詞,both,ou → /aʊ/,team,,,,
mouth,/maʊθ/,A1,名詞,both,ou → /aʊ/,team,,,,
move,/muv/,A1,名詞 / 動詞,both,o_e → /u/ (マジックe),long,,,,
movie,/ˈmuvi/,A1,名詞,cefr,,,,,,
much,/mʌtʃ/,A1,副詞 / 限定詞 / 代名詞,both,u → /ʌ/,short,,,,
mum,/mʌm/,A1,名詞,both,u → /ʌ/,short,,,,
music,/ˈmjuzɪk/,A1,名詞,cefr,,,,,,
musician,/mjuˈzɪʃən/,A1,名詞,cefr,,,,,,
must,/mʌst/,A1,助動詞,both,u → /ʌ/,short,,,,
my,/maɪ/,A1,限定詞,both,y → /aɪ/,long,,,,
name,/neɪm/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
nationality,/ˌnæʃəˈnæləti/,A1,名詞,cefr,,,,,,
near,/nɪr/,A1,前置詞,both,ear → /ɪr/,r,,,,
neck,/nɛk/,A1,名詞,both,e → /ɛ/,short,,,,
need,/nid/,A1,助動詞 / 動詞,both,ee → /i/,team,,,,
never,/ˈnɛvɚ/,A1,副詞,cefr,,,,,,
new,/nu/,A1,形容詞,both,ew → /u/,team,,,,
news,/nuz/,A1,名詞,cefr,,,,,,
newspaper,/ˈnuzˌpeɪpɚ/,A1,名詞,cefr,,,,,,
nice,/naɪs/,A1,形容詞,both,i → /aɪ/,long,,,,
night,/naɪt/,A1,名詞,both,igh → /aɪ/,team,,,,
nine,/naɪn/,A1,数詞,both,i_e → /aɪ/ (マジックe),long,,,,
nineteen,/naɪnˈtin/,A1,数詞,cefr,,,,,,
ninety,/ˈnaɪnti/,A1,数詞,cefr,,,,,,
no,/noʊ/,A1,副詞 / 限定詞,both,o → /oʊ/,long,,,,
noise,/nɔɪz/,A1,名詞,both,oi → /ɔɪ/,team,,,,
nose,/noʊz/,A1,名詞,both,o → /oʊ/,long,,,,
not,/nɑt/,A1,副詞,both,o → /ɑ/,short,,,,
note,/noʊt/,A1,名詞 / 動詞,both,o_e → /oʊ/ (マジックe),long,,,,
notebook,/ˈnoʊtˌbʊk/,A1,名詞,cefr,,,,,,
nothing,/ˈnʌθɪŋ/,A1,代名詞,cefr,,,,,,
november,/noʊˈvɛmbɚ/,A1,名詞,cefr,,,,,,
now,/naʊ/,A1,副詞,both,ow → /aʊ/,team,,,,
number,/ˈnʌmbɚ/,A1,名詞,cefr,,,,,,
nurse,/nɝs/,A1,名詞,both,ur → /ɝ/,r,,,,
october,/ɑkˈtoʊbɚ/,A1,名詞,cefr,,,,,,
of,/ʌv/,A1,前置詞,cefr,,,,,,
off,/ɔf/,A1,形容詞 / 副詞,both,o → /ɔ/,short,,,,
office,/ˈɔfɪs/,A1,名詞,cefr,,,,,,
officer,/ˈɔfəsɚ/,A1,名詞,cefr,,,,,,
often,/ˈɔfən/,A1,副詞,cefr,,,,,,
old,/oʊld/,A1,形容詞,both,o → /oʊ/,long,,,,
olympics,/oʊˈlɪmpɪks/,A1,名詞,cefr,,,,,,
on,/ɑn/,A1,副詞 / 前置詞,both,o → /ɑ/,short,,,,
once,/wʌns/,A1,副詞,cefr,,,,,,
one,/wʌn/,A1,限定詞 / 数詞 / 代名詞,cefr,,,,,,
only,/ˈoʊnli/,A1,形容詞 / 副詞,cefr,,,,,,
open,/ˈoʊpən/,A1,形容詞 / 動詞,cefr,,,,,,
opera,/ˈɑprə/,A1,名詞,cefr,,,,,,
or,/ɔr/,A1,接続詞,both,or → /ɔr/,r,,,,
orange,/ˈɔrəndʒ/,A1,形容詞 / 名詞,cefr,,,,,,
order,/ˈɔrdɚ/,A1,名詞 / 動詞,cefr,,,,,,
other,/ˈʌðɚ/,A1,限定詞 / 代名詞,cefr,,,,,,
our,/ˈaʊɚ/,A1,限定詞,cefr,,,,,,
ours,/ˈaʊɚz/,A1,代名詞,cefr,,,,,,
out,/aʊt/,A1,副詞,both,ou → /aʊ/,team,,,,
outside,/aʊtˈsaɪd/,A1,副詞 / 前置詞,cefr,,,,,,
over,/ˈoʊvɚ/,A1,副詞 / 前置詞,cefr,,,,,,
own,/oʊn/,A1,形容詞 / 代名詞,both,ow → /oʊ/,team,,,,
owner,/ˈoʊnɚ/,A1,名詞,cefr,,,,,,
page,/peɪdʒ/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
paint,/peɪnt/,A1,名詞 / 動詞,both,ai → /eɪ/,team,,,,
painting,/ˈpeɪntɪŋ/,A1,名詞,cefr,,,,,,
pair,/pɛr/,A1,名詞,both,air → /ɛr/,r,,,,
palace,/ˈpæləs/,A1,名詞,cefr,,,,,,
pants,/pænts/,A1,名詞,cefr,,,,,,
paper,/ˈpeɪpɚ/,A1,名詞,cefr,,,,,,
paragraph,/ˈpærəˌɡræf/,A1,名詞,cefr,,,,,,
pardon,/ˈpɑrdən/,A1,名詞,cefr,,,,,,
parent,/ˈpɛrənt/,A1,名詞,cefr,,,,,,
park,/pɑrk/,A1,名詞 / 動詞,both,ar → /ɑr/,r,,,,
partner,/ˈpɑrtnɚ/,A1,名詞,cefr,,,,,,
party,/ˈpɑrti/,A1,名詞,cefr,,,,,,
past,/pæst/,A1,副詞 / 前置詞,both,a → /æ/,short,,,,
pay,/peɪ/,A1,名詞 / 動詞,both,ay → /eɪ/,team,,,,
peace,/pis/,A1,名詞,both,ea → /i/,team,,,,
pen,/pɛn/,A1,名詞,both,e → /ɛ/,short,,,,
pencil,/ˈpɛnsəl/,A1,名詞,cefr,,,,,,
people,/ˈpipəl/,A1,名詞,cefr,,,,,,
period,/ˈpɪriəd/,A1,名詞,cefr,,,,,,
person,/ˈpɝsən/,A1,名詞,cefr,,,,,,
personal,/ˈpɝsɪnəl/,A1,形容詞,cefr,,,,,,
pet,/pɛt/,A1,名詞,both,e → /ɛ/,short,,,,
phone,/foʊn/,A1,名詞 / 動詞,both,o_e → /oʊ/ (マジックe),long,,,,
photo,/ˈfoʊˌtoʊ/,A1,名詞,cefr,,,,,,
piano,/piˈænoʊ/,A1,名詞,cefr,,,,,,
pick,/pɪk/,A1,動詞,both,i → /ɪ/,short,,,,
picnic,/ˈpɪkˌnɪk/,A1,名詞,cefr,,,,,,
picture,/ˈpɪktʃɚ/,A1,名詞,cefr,,,,,,
piece,/pis/,A1,名詞,both,ie → /i/,team,,,,
pig,/pɪɡ/,A1,名詞,both,i → /ɪ/,short,,,,
pink,/pɪŋk/,A1,形容詞 / 名詞,cefr,,,,,,
pizza,/ˈpitsə/,A1,名詞,cefr,,,,,,
place,/pleɪs/,A1,名詞,both,a → /eɪ/,long,,,,
plan,/plæn/,A1,名詞,both,a → /æ/,short,,,,
plane,/pleɪn/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
play,/pleɪ/,A1,名詞 / 動詞,both,ay → /eɪ/,team,,,,
player,/ˈpleɪɚ/,A1,名詞,cefr,,,,,,
please,/pliz/,A1,副詞,both,ea → /i/,team,,,,
pleasure,/ˈplɛʒɚ/,A1,名詞,cefr,,,,,,
pocket,/ˈpɑkət/,A1,名詞,cefr,,,,,,
poem,/ˈpoʊəm/,A1,名詞,cefr,,,,,,
point,/pɔɪnt/,A1,名詞 / 動詞,both,oi → /ɔɪ/,team,,,,
pollution,/pəˈluʃən/,A1,名詞,cefr,,,,,,
pool,/pul/,A1,名詞,both,oo → /u/,team,,,,
poor,/pur/,A1,形容詞,both,oo → /u/,team,,,,
pop,/pɑp/,A1,名詞,both,o → /ɑ/,short,,,,
post,/poʊst/,A1,名詞 / 動詞,both,o → /oʊ/,long,,,,
poster,/ˈpoʊstɚ/,A1,名詞,cefr,,,,,,
potato,/pəˈteɪˌtoʊ/,A1,名詞,cefr,,,,,,
practice,/ˈpræktəs/,A1,名詞,cefr,,,,,,
pray,/preɪ/,A1,動詞,both,ay → /eɪ/,team,,,,
present,/ˈprɛzənt/,A1,名詞,cefr,,,,,,
pretty,/ˈprɪti/,A1,形容詞 / 副詞,cefr,,,,,,
price,/praɪs/,A1,名詞,both,i → /aɪ/,long,,,,
prince,/prɪns/,A1,名詞,both,i → /ɪ/,short,,,,
princess,/ˈprɪnsɛs/,A1,名詞,cefr,,,,,,
problem,/ˈprɑbləm/,A1,名詞,cefr,,,,,,
purple,/ˈpɝpəl/,A1,形容詞 / 名詞,cefr,,,,,,
push,/pʊʃ/,A1,動詞,both,u → /ʊ/,short,,,,
put,/pʊt/,A1,動詞,both,u → /ʊ/,short,,,,
quarter,/ˈkwɔrtɚ/,A1,名詞,cefr,,,,,,
question,/ˈkwɛstʃən/,A1,名詞,cefr,,,,,,
quickly,/ˈkwɪkli/,A1,副詞,cefr,,,,,,
quiet,/ˈkwaɪət/,A1,形容詞,cefr,,,,,,
rabbit,/ˈræbət/,A1,名詞,cefr,,,,,,
radio,/ˈreɪdiˌoʊ/,A1,名詞,cefr,,,,,,
rain,/reɪn/,A1,名詞 / 動詞,both,ai → /eɪ/,team,,,,
rainy,/ˈreɪni/,A1,形容詞,cefr,,,,,,
rat,/ræt/,A1,名詞,both,a → /æ/,short,,,,
read,/rɛd/,A1,動詞,both,ea → /ɛ/,team,,,,
reader,/ˈridɚ/,A1,名詞,cefr,,,,,,
reading,/ˈridɪŋ/,A1,名詞,cefr,,,,,,
ready,/ˈrɛdi/,A1,形容詞,cefr,,,,,,
real,/ril/,A1,形容詞 / 副詞,both,ea → /i/,team,,,,
really,/ˈrɪli/,A1,副詞,cefr,,,,,,
reason,/ˈrizən/,A1,名詞,cefr,,,,,,
red,/rɛd/,A1,形容詞 / 名詞,both,e → /ɛ/,short,,,,
remember,/rɪˈmɛmbɚ/,A1,動詞,cefr,,,,,,
repeat,/rɪˈpit/,A1,動詞,cefr,,,,,,
reporter,/rɪˈpɔrtɚ/,A1,名詞,cefr,,,,,,
restaurant,/ˈrɛstɚˌɑnt/,A1,名詞,cefr,,,,,,
result,/rɪˈzʌlt/,A1,名詞,cefr,,,,,,
review,/ˌriˈvju/,A1,名詞,cefr,,,,,,
ribbon,/ˈrɪbən/,A1,名詞,cefr,,,,,,
rice,/raɪs/,A1,名詞,both,i → /aɪ/,long,,,,
rich,/rɪtʃ/,A1,形容詞,both,i → /ɪ/,short,,,,
ride,/raɪd/,A1,名詞 / 動詞,both,i_e → /aɪ/ (マジックe),long,,,,
right,/raɪt/,A1,形容詞 / 副詞 / 名詞,both,igh → /aɪ/,team,,,,
ring,/rɪŋ/,A1,名詞 / 動詞,both,i → /ɪ/,short,,,,
river,/ˈrɪvɚ/,A1,名詞,cefr,,,,,,
role,/roʊl/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
room,/rum/,A1,名詞,both,oo → /u/,team,,,,
rose,/roʊz/,A1,名詞,both,o → /oʊ/,long,,,,
row,/roʊ/,A1,名詞,both,ow → /oʊ/,team,,,,
rude,/rud/,A1,形容詞,both,u_e → /u/ (マジックe),long,,,,
rule,/rul/,A1,名詞,both,u_e → /u/ (マジックe),long,,,,
ruler,/ˈrulɚ/,A1,名詞,cefr,,,,,,
run,/rʌn/,A1,名詞 / 動詞,both,u → /ʌ/,short,,,,
sad,/sæd/,A1,形容詞,both,a → /æ/,short,,,,
sailor,/ˈseɪlɚ/,A1,名詞,cefr,,,,,,
salad,/ˈsæləd/,A1,名詞,cefr,,,,,,
sale,/seɪl/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
same,/seɪm/,A1,形容詞 / 副詞 / 代名詞,both,a_e → /eɪ/ (マジックe),long,,,,
sandwich,/ˈsændwɪtʃ/,A1,名詞,cefr,,,,,,
saturday,/ˈsætɚdi/,A1,名詞,cefr,,,,,,
save,/seɪv/,A1,動詞,both,a_e → /eɪ/ (マジックe),long,,,,
saw,/sɔ/,A1,名詞,both,aw → /ɔ/,team,,,,
say,/seɪ/,A1,動詞,both,ay → /eɪ/,team,,,,
school,/skul/,A1,名詞,both,oo → /u/,team,,,,
science,/ˈsaɪəns/,A1,名詞,cefr,,,,,,
scientist,/ˈsaɪəntɪst/,A1,名詞,cefr,,,,,,
sea,/si/,A1,名詞,both,ea → /i/,team,,,,
seat,/sit/,A1,名詞,both,ea → /i/,team,,,,
second,/ˈsɛkənd/,A1,形容詞 / 名詞 / 代名詞,cefr,,,,,,
section,/ˈsɛkʃən/,A1,名詞,cefr,,,,,,
see,/si/,A1,動詞,both,e → /i/,long,,,,
self,/sɛlf/,A1,名詞,both,e → /ɛ/,short,,,,
sell,/sɛl/,A1,動詞,both,e → /ɛ/,short,,,,
sentence,/ˈsɛntəns/,A1,名詞,cefr,,,,,,
september,/sɛpˈtɛmbɚ/,A1,名詞,cefr,,,,,,
set,/sɛt/,A1,名詞 / 動詞,both,e → /ɛ/,short,,,,
seven,/ˈsɛvən/,A1,数詞,cefr,,,,,,
seventeen,/sɛvənˈtin/,A1,数詞,cefr,,,,,,
seventy,/ˈsɛvənti/,A1,数詞,cefr,,,,,,
shake,/ʃeɪk/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
share,/ʃɛr/,A1,名詞 / 動詞,both,are → /ɛr/,r,,,,
she,/ʃi/,A1,代名詞,both,e → /i/,long,,,,
sheep,/ʃip/,A1,名詞,both,ee → /i/,team,,,,
shelf,/ʃɛlf/,A1,名詞,both,e → /ɛ/,short,,,,
ship,/ʃɪp/,A1,名詞,both,i → /ɪ/,short,,,,
shirt,/ʃɝt/,A1,名詞,both,ir → /ɝ/,r,,,,
shoe,/ʃu/,A1,名詞,both,oe → /u/,team,,,,
shop,/ʃɑp/,A1,名詞,both,o → /ɑ/,short,,,,
shopping,/ˈʃɑpɪŋ/,A1,名詞,cefr,,,,,,
short,/ʃɔrt/,A1,形容詞 / 副詞,both,or → /ɔr/,r,,,,
should,/ʃʊd/,A1,助動詞,cefr,,,,,,
shoulder,/ˈʃoʊldɚ/,A1,名詞,cefr,,,,,,
show,/ʃoʊ/,A1,名詞 / 動詞,both,ow → /oʊ/,team,,,,
shower,/ˈʃaʊɚ/,A1,名詞,cefr,,,,,,
shy,/ʃaɪ/,A1,形容詞,both,y → /aɪ/,long,,,,
sick,/sɪk/,A1,形容詞,both,i → /ɪ/,short,,,,
side,/saɪd/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
sight,/saɪt/,A1,名詞,both,igh → /aɪ/,team,,,,
sign,/saɪn/,A1,名詞,both,i → /aɪ/,long,,,,
sing,/sɪŋ/,A1,動詞,both,i → /ɪ/,short,,,,
singer,/ˈsɪŋɚ/,A1,名詞,cefr,,,,,,
sir,/sɝ/,A1,名詞,both,ir → /ɝ/,r,,,,
sister,/ˈsɪstɚ/,A1,名詞,cefr,,,,,,
sit,/sɪt/,A1,動詞,both,i → /ɪ/,short,,,,
site,/saɪt/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
six,/sɪks/,A1,数詞,both,i → /ɪ/,short,,,,
sixteen,/sɪkˈstin/,A1,数詞,cefr,,,,,,
sixty,/ˈsɪksti/,A1,数詞,cefr,,,,,,
size,/saɪz/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
skill,/skɪl/,A1,名詞,both,i → /ɪ/,short,,,,
skirt,/skɝt/,A1,名詞,both,ir → /ɝ/,r,,,,
sky,/skaɪ/,A1,名詞,both,y → /aɪ/,long,,,,
